Universe	Total population
PCT065C001	0	Total:
PCT065C002	6	Car, truck, or van
PCT065C003	8	Drove alone
PCT065C004	8	Carpooled
PCT065C005	6	Public transportation:
PCT065C006	8	Bus or trolley bus
PCT065C007	8	Streetcar or trolley car (público in Puerto Rico)
PCT065C008	8	Subway or elevated
PCT065C009	8	Railroad
PCT065C010	8	Ferryboat
PCT065C011	8	Taxicab
PCT065C012	6	Motorcycle
PCT065C013	6	Bicycle
PCT065C014	6	Walked
PCT065C015	6	Other means
PCT065C016	6	Worked at home
Universe	Asian alone workers 16 years and over
PCT065D001	0	Total:
PCT065D002	6	Car, truck, or van:
PCT065D003	8	Drove alone
PCT065D004	8	Carpooled
PCT065D005	6	Public transportation:
PCT065D006	8	Bus or trolley bus
PCT065D007	8	Streetcar or trolley car (público in Puerto Rico)
PCT065D008	8	Subway or elevated
PCT065D009	8	Railroad
PCT065D010	8	Ferryboat
PCT065D011	8	Taxicab
PCT065D012	6	Motorcycle
PCT065D013	6	Bicycle
PCT065D014	6	Walked
PCT065D015	6	Other means
PCT065D016	6	Worked at home
Universe	Native Hawaiian and Other Pacific Islander alone workers 16 years and over
PCT065E001	0	Total:
PCT065E002	6	Car, truck, or van:
PCT065E003	8	Drove alone
PCT065E004	8	Carpooled
PCT065E005	6	Public transportation:
PCT065E006	8	Bus or trolley bus
PCT065E007	8	Streetcar or trolley car (público in Puerto Rico)
PCT065E008	8	Subway or elevated
PCT065E009	8	Railroad
PCT065E010	8	Ferryboat
PCT065E011	8	Taxicab
PCT065E012	6	Motorcycle
PCT065E013	6	Bicycle
PCT065E014	6	Walked
PCT065E015	6	Other means
PCT065E016	6	Worked at home
Universe	Some other race alone workers 16 years and over
PCT065F001	0	Total:
PCT065F002	6	Car, truck, or van:
PCT065F003	8	Drove alone
PCT065F004	8	Carpooled
PCT065F005	6	Public transportation:
PCT065F006	8	Bus or trolley bus
PCT065F007	8	Streetcar or trolley car (público in Puerto Rico)
PCT065F008	8	Subway or elevated
PCT065F009	8	Railroad
PCT065F010	8	Ferryboat
PCT065F011	8	Taxicab
PCT065F012	6	Motorcycle
PCT065F013	6	Bicycle
PCT065F014	6	Walked
PCT065F015	6	Other means
PCT065F016	6	Worked at home
Universe	Two or more races workers 16 years and over
PCT065G001	0	Total:
PCT065G002	6	Car, truck, or van:
PCT065G003	8	Drove alone
PCT065G004	8	Carpooled
PCT065G005	6	Public transportation:
PCT065G006	8	Bus or trolley bus
PCT065G007	8	Streetcar or trolley car (público in Puerto Rico)
PCT065G008	8	Subway or elevated
PCT065G009	8	Railroad
PCT065G010	8	Ferryboat
PCT065G011	8	Taxicab
PCT065G012	6	Motorcycle
PCT065G013	6	Bicycle
PCT065G014	6	Walked
PCT065G015	6	Other means
PCT065G016	6	Worked at home
Universe	Hispanic or Latino workers 16 years and over
PCT065H001	0	Total:
PCT065H002	6	Car, truck, or van:
PCT065H003	8	Drove alone
PCT065H004	8	Carpooled
PCT065H005	6	Public transportation:
PCT065H006	8	Bus or trolley bus
PCT065H007	8	Streetcar or trolley car (público in Puerto Rico)
PCT065H008	8	Subway or elevated
PCT065H009	8	Railroad
PCT065H010	8	Ferryboat
PCT065H011	8	Taxicab
PCT065H012	6	Motorcycle
PCT065H013	6	Bicycle
PCT065H014	6	Walked
PCT065H015	6	Other means
PCT065H016	6	Worked at home
Universe	White alone, not Hispanic or Latino workers 16 years and over
PCT065I001	0	Total:
PCT065I002	6	Car, truck, or van:
PCT065I003	8	Drove alone
PCT065I004	8	Carpooled
PCT065I005	6	Public transportation:
PCT065I006	8	Bus or trolley bus
PCT065I007	8	Streetcar or trolley car (público in Puerto Rico)
PCT065I008	8	Subway or elevated
PCT065I009	8	Railroad
PCT065I010	8	Ferryboat
PCT065I011	8	Taxicab
PCT065I012	6	Motorcycle
PCT065I013	6	Bicycle
PCT065I014	6	Walked
PCT065I015	6	Other means
PCT065I016	6	Worked at home
Universe	White alone population 18 years and over
PCT066A001	0	Total:
PCT066A002	6	Male:
PCT066A003	8	18 to 64 years:
PCT066A004	10	In Armed Forces
PCT066A005	10	Civilian:
PCT066A006	12	Veteran
PCT066A007	12	Nonveteran
PCT066A008	8	65 years and over:
PCT066A009	10	In Armed Forces
PCT066A010	10	Civilian:
PCT066A011	12	Veteran
PCT066A012	12	Nonveteran
PCT066A013	6	Female:
PCT066A014	8	18 to 64 years:
PCT066A015	10	In Armed Forces
PCT066A016	10	Civilian:
PCT066A017	12	Veteran
PCT066A018	12	Nonveteran
PCT066A019	8	65 years and over:
PCT066A020	10	In Armed Forces
PCT066A021	10	Civilian:
PCT066A022	12	Veteran
PCT066A023	12	Nonveteran
Universe	Black or African American alone population 18 years and over
PCT066B001	0	Total:
PCT066B002	6	Male:
PCT066B003	8	18 to 64 years:
PCT066B004	10	In Armed Forces
PCT066B005	10	Civilian:
PCT066B006	12	Veteran
PCT066B007	12	Nonveteran
PCT066B008	8	65 years and over:
PCT066B009	10	In Armed Forces
PCT066B010	10	Civilian:
PCT066B011	12	Veteran
PCT066B012	12	Nonveteran
PCT066B013	6	Female:
PCT066B014	8	18 to 64 years:
PCT066B015	10	In Armed Forces
PCT066B016	10	Civilian:
PCT066B017	12	Veteran
PCT066B018	12	Nonveteran
PCT066B019	8	65 years and over:
PCT066B020	10	In Armed Forces
PCT066B021	10	Civilian:
PCT066B022	12	Veteran
PCT066B023	12	Nonveteran
Universe	American Indian and Alaska Native alone population 18 years and over
PCT066C001	0	Total:
PCT066C002	6	Male:
PCT066C003	8	18 to 64 years:
PCT066C004	10	In Armed Forces
PCT066C005	10	Civilian:
PCT066C006	12	Veteran
PCT066C007	12	Nonveteran
PCT066C008	8	65 years and over:
PCT066C009	10	In Armed Forces
PCT066C010	10	Civilian:
PCT066C011	12	Veteran
PCT066C012	12	Nonveteran
PCT066C013	6	Female:
PCT066C014	8	18 to 64 years:
PCT066C015	10	In Armed Forces
PCT066C016	10	Civilian:
PCT066C017	12	Veteran
PCT066C018	12	Nonveteran
PCT066C019	8	65 years and over:
PCT066C020	10	In Armed Forces
PCT066C021	10	Civilian:
PCT066C022	12	Veteran
PCT066C023	12	Nonveteran
Universe	Asian alone population 18 years and over
PCT066D001	0	Total:
PCT066D002	6	Male:
PCT066D003	8	18 to 64 years:
PCT066D004	10	In Armed Forces
PCT066D005	10	Civilian:
PCT066D006	12	Veteran
PCT066D007	12	Nonveteran
PCT066D008	8	65 years and over:
PCT066D009	10	In Armed Forces
PCT066D010	10	Civilian:
PCT066D011	12	Veteran
PCT066D012	12	Nonveteran
PCT066D013	6	Female:
PCT066D014	8	18 to 64 years:
PCT066D015	10	In Armed Forces
PCT066D016	10	Civilian:
PCT066D017	12	Veteran
PCT066D018	12	Nonveteran
PCT066D019	8	65 years and over:
PCT066D020	10	In Armed Forces
PCT066D021	10	Civilian:
PCT066D022	12	Veteran
PCT066D023	12	Nonveteran
Universe	Native Hawaiian and Other Pacific Islander alone population 18 years and over
PCT066E001	0	Total:
PCT066E002	6	Male:
PCT066E003	8	18 to 64 years:
PCT066E004	10	In Armed Forces
PCT066E005	10	Civilian:
PCT066E006	12	Veteran
PCT066E007	12	Nonveteran
PCT066E008	8	65 years and over:
PCT066E009	10	In Armed Forces
PCT066E010	10	Civilian:
PCT066E011	12	Veteran
PCT066E012	12	Nonveteran
PCT066E013	6	Female:
PCT066E014	8	18 to 64 years:
PCT066E015	10	In Armed Forces
PCT066E016	10	Civilian:
PCT066E017	12	Veteran
PCT066E018	12	Nonveteran
PCT066E019	8	65 years and over:
PCT066E020	10	In Armed Forces
PCT066E021	10	Civilian:
PCT066E022	12	Veteran
PCT066E023	12	Nonveteran
Universe	Some other race alone population 18 years and over
PCT066F001	0	Total:
PCT066F002	6	Male:
PCT066F003	8	18 to 64 years:
PCT066F004	10	In Armed Forces
PCT066F005	10	Civilian:
PCT066F006	12	Veteran
PCT066F007	12	Nonveteran
PCT066F008	8	65 years and over:
PCT066F009	10	In Armed Forces
PCT066F010	10	Civilian:
PCT066F011	12	Veteran
PCT066F012	12	Nonveteran
PCT066F013	6	Female:
PCT066F014	8	18 to 64 years:
PCT066F015	10	In Armed Forces
PCT066F016	10	Civilian:
PCT066F017	12	Veteran
PCT066F018	12	Nonveteran
PCT066F019	8	65 years and over:
PCT066F020	10	In Armed Forces
PCT066F021	10	Civilian:
PCT066F022	12	Veteran
PCT066F023	12	Nonveteran
Universe	Two or more races population 18 years and over
PCT066G001	0	Total:
PCT066G002	6	Male:
PCT066G003	8	18 to 64 years:
PCT066G004	10	In Armed Forces
PCT066G005	10	Civilian:
PCT066G006	12	Veteran
PCT066G007	12	Nonveteran
PCT066G008	8	65 years and over:
PCT066G009	10	In Armed Forces
PCT066G010	10	Civilian:
PCT066G011	12	Veteran
PCT066G012	12	Nonveteran
PCT066G013	6	Female:
PCT066G014	8	18 to 64 years:
PCT066G015	10	In Armed Forces
PCT066G016	10	Civilian:
PCT066G017	12	Veteran
PCT066G018	12	Nonveteran
PCT066G019	8	65 years and over:
PCT066G020	10	In Armed Forces
PCT066G021	10	Civilian:
PCT066G022	12	Veteran
PCT066G023	12	Nonveteran
Universe	Hispanic or Latino population 18 years and over
PCT066H001	0	Total:
PCT066H002	6	Male:
PCT066H003	8	18 to 64 years:
PCT066H004	10	In Armed Forces
PCT066H005	10	Civilian:
PCT066H006	12	Veteran
PCT066H007	12	Nonveteran
PCT066H008	8	65 years and over:
PCT066H009	10	In Armed Forces
PCT066H010	10	Civilian:
PCT066H011	12	Veteran
PCT066H012	12	Nonveteran
PCT066H013	6	Female:
PCT066H014	8	18 to 64 years:
PCT066H015	10	In Armed Forces
PCT066H016	10	Civilian:
PCT066H017	12	Veteran
PCT066H018	12	Nonveteran
PCT066H019	8	65 years and over:
PCT066H020	10	In Armed Forces
PCT066H021	10	Civilian:
PCT066H022	12	Veteran
PCT066H023	12	Nonveteran
Universe	White alone, not Hispanic or Latino population 18 years and over
PCT066I001	0	Total:
PCT066I002	6	Male:
PCT066I003	8	18 to 64 years:
PCT066I004	10	In Armed Forces
PCT066I005	10	Civilian:
PCT066I006	12	Veteran
PCT066I007	12	Nonveteran
PCT066I008	8	65 years and over:
PCT066I009	10	In Armed Forces
PCT066I010	10	Civilian:
PCT066I011	12	Veteran
PCT066I012	12	Nonveteran
PCT066I013	6	Female:
PCT066I014	8	18 to 64 years:
PCT066I015	10	In Armed Forces
PCT066I016	10	Civilian:
PCT066I017	12	Veteran
PCT066I018	12	Nonveteran
PCT066I019	8	65 years and over:
PCT066I020	10	In Armed Forces
PCT066I021	10	Civilian:
PCT066I022	12	Veteran
PCT066I023	12	Nonveteran
Universe	Total disabilities tallied for the civilian noninstitutionalized White alone population 5 years and over with disabilities
PCT067A001	0	Total disabilities tallied:
PCT067A002	6	Total disabilities tallied for people 5 to 15 years:
PCT067A003	8	Sensory disability
PCT067A004	8	Physical disability
PCT067A005	8	Mental disability
PCT067A006	8	Self-care disability
PCT067A007	6	Total disabilities tallied for people 16 to 64 years:
PCT067A008	8	Sensory disability
PCT067A009	8	Physical disability
PCT067A010	8	Mental disability
PCT067A011	8	Self-care disability
PCT067A012	8	Go-outside-home disability
PCT067A013	8	Employment disability
PCT067A014	6	Total disabilities tallied for people 65 years and over:
PCT067A015	8	Sensory disability
PCT067A016	8	Physical disability
PCT067A017	8	Mental disability
PCT067A018	8	Self-care disability
PCT067A019	8	Go-outside-home disability
Universe	Total disabilities tallied for the civilian noninstitutionalized Black or African American alone population 5 years and over with disabilities
PCT067B001	0	Total disabilities tallied:
PCT067B002	6	Total disabilities tallied for people 5 to 15 years:
PCT067B003	8	Sensory disability
PCT067B004	8	Physical disability
PCT067B005	8	Mental disability
PCT067B006	8	Self-care disability
PCT067B007	6	Total disabilities tallied for people 16 to 64 years:
PCT067B008	8	Sensory disability
PCT067B009	8	Physical disability
PCT067B010	8	Mental disability
PCT067B011	8	Self-care disability
PCT067B012	8	Go-outside-home disability
PCT067B013	8	Employment disability
PCT067B014	6	Total disabilities tallied for people 65 years and over:
PCT067B015	8	Sensory disability
PCT067B016	8	Physical disability
PCT067B017	8	Mental disability
PCT067B018	8	Self-care disability
PCT067B019	8	Go-outside-home disability
Universe	Total disabilities tallied for the civilian noninstitutionalized American Indian and Alaska Native alone population 5 years and over with disabilities
PCT067C001	0	Total disabilities tallied:
PCT067C002	6	Total disabilities tallied for people 5 to 15 years:
PCT067C003	8	Sensory disability
PCT067C004	8	Physical disability
PCT067C005	8	Mental disability
PCT067C006	8	Self-care disability
PCT067C007	6	Total disabilities tallied for people 16 to 64 years:
PCT067C008	8	Sensory disability
PCT067C009	8	Physical disability
PCT067C010	8	Mental disability
PCT067C011	8	Self-care disability
PCT067C012	8	Go-outside-home disability
PCT067C013	8	Employment disability
PCT067C014	6	Total disabilities tallied for people 65 years and over:
PCT067C015	8	Sensory disability
PCT067C016	8	Physical disability
PCT067C017	8	Mental disability
PCT067C018	8	Self-care disability
PCT067C019	8	Go-outside-home disability
Universe	Total disabilities tallied for the civilian noninstitutionalized Asian alone population 5 years and over with disabilities
PCT067D001	0	Total disabilities tallied:
PCT067D002	6	Total disabilities tallied for people 5 to 15 years:
PCT067D003	8	Sensory disability
PCT067D004	8	Physical disability
PCT067D005	8	Mental disability
PCT067D006	8	Self-care disability
PCT067D007	6	Total disabilities tallied for people 16 to 64 years:
PCT067D008	8	Sensory disability
PCT067D009	8	Physical disability
PCT067D010	8	Mental disability
PCT067D011	8	Self-care disability
PCT067D012	8	Go-outside-home disability
PCT067D013	8	Employment disability
PCT067D014	6	Total disabilities tallied for people 65 years and over:
PCT067D015	8	Sensory disability
PCT067D016	8	Physical disability
PCT067D017	8	Mental disability
PCT067D018	8	Self-care disability
PCT067D019	8	Go-outside-home disability
Universe	Total disabilities tallied for the civilian noninstitutionalized Native Hawaiian and Other Pacific Islander alone population 5 years and over with disabilities
PCT067E001	0	Total disabilities tallied:
PCT067E002	6	Total disabilities tallied for people 5 to 15 years:
PCT067E003	8	Sensory disability
PCT067E004	8	Physical disability
PCT067E005	8	Mental disability
PCT067E006	8	Self-care disability
PCT067E007	6	Total disabilities tallied for people 16 to 64 years:
PCT067E008	8	Sensory disability
PCT067E009	8	Physical disability
PCT067E010	8	Mental disability
PCT067E011	8	Self-care disability
PCT067E012	8	Go-outside-home disability
PCT067E013	8	Employment disability
PCT067E014	6	Total disabilities tallied for people 65 years and over:
PCT067E015	8	Sensory disability
PCT067E016	8	Physical disability
PCT067E017	8	Mental disability
PCT067E018	8	Self-care disability
PCT067E019	8	Go-outside-home disability
Universe	Total disabilities tallied for the civilian noninstitutionalized Some other race alone population 5 years and over with disabilities
PCT067F001	0	Total disabilities tallied:
PCT067F002	6	Total disabilities tallied for people 5 to 15 years:
PCT067F003	8	Sensory disability
PCT067F004	8	Physical disability
PCT067F005	8	Mental disability
PCT067F006	8	Self-care disability
PCT067F007	6	Total disabilities tallied for people 16 to 64 years:
PCT067F008	8	Sensory disability
PCT067F009	8	Physical disability
PCT067F010	8	Mental disability
PCT067F011	8	Self-care disability
PCT067F012	8	Go-outside-home disability
PCT067F013	8	Employment disability
PCT067F014	6	Total disabilities tallied for people 65 years and over:
PCT067F015	8	Sensory disability
PCT067F016	8	Physical disability
PCT067F017	8	Mental disability
PCT067F018	8	Self-care disability
PCT067F019	8	Go-outside-home disability
Universe	Total disabilities tallied for the civilian noninstitutionalized Two or more races population 5 years and over with disabilities
PCT067G001	0	Total disabilities tallied:
PCT067G002	6	Total disabilities tallied for people 5 to 15 years:
PCT067G003	8	Sensory disability
PCT067G004	8	Physical disability
PCT067G005	8	Mental disability
